Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000092;13972133000171;2025/10/15
99000008;61473038000176;2025/10/16
99000096;13972133000171;2025/10/15
99000231;51776054000184;2025/10/16
99000238;35375155000359;2025/10/14
99000101;13972133000171;2025/10/15
99001378;10573028000171;2025/10/13
99000106;13972133000171;2025/10/15
99000180;08145825000106;2025/10/16
99000026;58313587000179;2025/10/16
99000005;18248681000177;2025/10/16
99002297;18991934000106;2025/10/13
99000262;35375155000359;2025/10/16
99000021;24497143000119;2025/10/13
99000679;50680977000175;2025/10/16
99001553;14102211000140;2025/10/16
99007344;23093799000103;2025/10/14
99000297;58220895000150;2025/10/13
99000273;35375155000359;2025/10/15
99000264;04776151000197;2025/10/16
99000072;51558769000160;2025/10/15
