Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000469;13235651000293;2026/01/08
99000276;35375155000359;2026/01/07
99000472;03244495000192;2026/01/06
99001232;28367948000107;2026/01/07
99000008;59156969000107;2026/01/05
99003186;42883214000101;2026/01/07
99000320;42693999000141;2026/01/06
99000748;02177542000160;2026/01/07
99000749;02177542000160;2026/01/07
99000002;50604004000157;2026/01/08
99000003;58920057000199;2026/01/05
99000139;48042858000145;2026/01/06
99000035;44718244000180;2026/01/06
99000005;17164869000174;2026/01/06
99000036;44718244000180;2026/01/06
99000014;38583317000170;2026/01/06
99000135;36954214000144;2026/01/06
99000137;36954214000144;2026/01/05
99000171;41227391000169;2026/01/06
99000201;42912040000150;2026/01/07
99000009;60758490000111;2026/01/09
99000037;44718244000180;2026/01/06
99000549;06286465000137;2026/01/06
99000233;62162700000130;2026/01/06
99000331;37835627000172;2026/01/06
99000174;45173177000128;2026/01/07
99000333;42693999000141;2026/01/06
99000003;63569927000167;2026/01/05
99000059;30745589000118;2026/01/07
99000219;04606250000120;2026/01/07
99000495;09585772000107;2026/01/06
99001792;28767315000188;2026/01/06
99001793;28767315000188;2026/01/06
99000184;17553182000201;2026/01/06
