Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000644;43454624000191;2025/11/26
99000459;03244495000192;2025/11/27
99019190;01577909000170;2025/11/27
99000232;15401553000123;2025/11/27
99000186;08145825000106;2025/11/27
99000187;08145825000106;2025/11/27
99000188;08145825000106;2025/11/27
99000189;08145825000106;2025/11/27
99001991;15477919000148;2025/11/26
99000233;25230538000113;2025/11/28
99000004;23341843000157;2025/11/26
99000004;17920571000570;2025/11/27
99000023;33146931000151;2025/11/27
99000042;46003864000168;2025/11/25
99002670;15729140000172;2025/11/26
99000028;30889902000191;2025/11/27
99000007;17920571000570;2025/11/28
99000295;35375155000359;2025/11/26
99000296;35375155000359;2025/11/26
99000297;35375155000359;2025/11/26
99000298;35375155000359;2025/11/26
99000299;35375155000359;2025/11/26
99000300;35375155000359;2025/11/26
99002041;15477919000148;2025/11/26
99000030;30889902000191;2025/11/27
99000009;35497359000362;2025/11/27
