Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000059;29493523000107;2026/01/29
99000063;45969651000122;2026/01/29
99000060;29493523000107;2026/01/29
99000041;57690482000176;2026/01/29
99000703;43454624000191;2026/01/30
99000011;61173350000144;2026/01/29
99013348;30961690000106;2026/01/29
99002203;08684186000157;2026/01/29
99000781;26383797000147;2026/01/29
99000151;46549629000196;2026/01/29
99000535;14827730000175;2026/01/29
99002327;12390967000106;2026/01/30
99000419;58220895000150;2026/01/29
99003178;24875410000144;2026/01/28
99000156;46549629000196;2026/01/28
99000602;53623204000145;2026/01/28
99003186;24875410000144;2026/01/28
99003187;24875410000144;2026/01/28
99000717;43454624000191;2026/01/30
