Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000021;55636500000106;2025/12/15
99000022;55636500000106;2025/12/15
99000023;55636500000106;2025/12/15
99000024;55636500000106;2025/12/15
99000025;55636500000106;2025/12/15
99000026;55636500000106;2025/12/15
99000027;55636500000106;2025/12/15
99000028;55636500000106;2025/12/15
99000029;55636500000106;2025/12/15
99000044;55636500000106;2025/12/15
99000045;55636500000106;2025/12/15
99000046;55636500000106;2025/12/15
99000047;55636500000106;2025/12/15
99000049;55636500000106;2025/12/15
99000058;55636500000106;2025/12/15
99000162;16660849000121;2025/12/19
99000065;55636500000106;2025/12/15
99000047;54758018000186;2025/12/19
99000125;39305351000146;2025/12/16
99000012;37971989000190;2025/12/19
99000050;54758018000186;2025/12/16
99007663;23093799000103;2025/12/16
99021502;03929228000159;2025/12/16
99000061;07205868000177;2025/12/16
99000009;41743415000132;2025/12/18
99000410;35304135000125;2025/12/17
99000411;35304135000125;2025/12/16
99000001;62487815000102;2025/12/16
99000001;62911580000126;2025/12/16
99000062;07205868000177;2025/12/16
99000751;02177542000160;2025/12/16
99000134;46549629000196;2025/12/17
99000026;58506492000171;2025/12/16
