Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000017;59167560000188;2025/11/05
99000054;48048377000147;2025/11/04
99000012;35334557000143;2025/11/04
99000037;53011650000107;2025/11/06
99000023;22719920000105;2025/11/05
99000024;22719920000105;2025/11/05
99000001;30765303000166;2025/11/03
99000125;62162700000130;2025/11/05
99000477;41569982000114;2025/11/06
99000478;41569982000114;2025/11/04
99012605;30961690000106;2025/11/07
99000130;62162700000130;2025/11/05
99001659;58661296000171;2025/11/03
99007469;23093799000103;2025/11/04
99007475;23093799000103;2025/11/03
99000004;59555175000108;2025/11/05
99000140;62162700000130;2025/11/04
99000141;62162700000130;2025/11/04
99000142;62162700000130;2025/11/06
99000143;62162700000130;2025/11/06
99000144;62162700000130;2025/11/04
99000145;62162700000130;2025/11/06
99000146;62162700000130;2025/11/06
99000147;62162700000130;2025/11/06
99000148;62162700000130;2025/11/06
99000154;62162700000130;2025/11/04
99000339;20188545000180;2025/11/04
99000017;29237381000109;2025/11/05
99000041;54758018000186;2025/11/07
99000031;59167560000188;2025/11/05
99000739;53255780000187;2025/11/06
99000442;31025662000140;2025/11/06
99000486;41569982000114;2025/11/06
99000001;23065732000165;2025/11/06
99000002;23065732000165;2025/11/06
99007516;23093799000103;2025/11/06
99000005;59555175000108;2025/11/06
99000875;46266891000123;2025/11/07
99000005;61815190000190;2025/11/07
99000001;60455496000110;2025/11/07
