Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99002012;07232177000162;2026/02/23
99002493;07232177000162;2026/02/23
99002494;07232177000162;2026/02/23
99002495;07232177000162;2026/02/23
99002496;07232177000162;2026/02/23
99002497;07232177000162;2026/02/23
99000038;53418566000102;2026/02/24
99001914;26061335000103;2026/02/24
99000150;46549629000196;2026/02/27
99006262;29548096000109;2026/02/25
99000153;46549629000196;2026/02/27
99000032;31322265000130;2026/02/24
99000008;61888907000123;2026/02/24
99000001;41852383000103;2026/02/24
99000002;41852383000103;2026/02/24
99004498;00180260000196;2026/02/27
99000215;08145825000106;2026/02/24
99000003;41852383000103;2026/02/24
99000001;30593354000158;2026/02/24
99000002;58213941000193;2026/02/24
99000392;71087340000301;2026/02/26
99000393;71087340000301;2026/02/26
99015636;42915402000166;2026/02/24
99008033;23093799000103;2026/02/24
99008036;23093799000103;2026/02/24
99000121;33969751000170;2026/02/26
99000366;35375155000359;2026/02/26
99000065;29493523000107;2026/02/27
99000790;33229200000170;2026/02/25
99000074;53255335000117;2026/02/25
99000075;53255335000117;2026/02/25
99002359;12390967000106;2026/02/25
99000660;53623204000145;2026/02/26
99000001;62744239000123;2026/02/25
99000158;37965239000106;2026/02/25
99000002;62744239000123;2026/02/25
99000076;53255335000117;2026/02/25
99000015;62337846000179;2026/02/25
99000053;53011650000107;2026/02/26
99000011;63595152000102;2026/02/24
99000070;34376591000118;2026/02/26
99000071;34376591000118;2026/02/26
99000001;08912758000108;2026/02/24
99000072;34376591000118;2026/02/26
99000687;53623204000145;2026/02/24
99000002;27817028000172;2026/02/24
99000039;27813257000119;2026/02/26
99000022;28741080000155;2026/02/26
99001568;10573028000171;2026/02/26
99000628;41569982000114;2026/02/26
99000073;34376591000118;2026/02/26
99000074;34376591000118;2026/02/26
99000075;34376591000118;2026/02/26
99000629;41569982000114;2026/02/26
99000076;34376591000118;2026/02/26
99000630;41569982000114;2026/02/26
99000442;35304135000125;2026/02/26
99000631;41569982000114;2026/02/26
99000632;41569982000114;2026/02/26
99000137;52028900000140;2026/02/26
99000138;52028900000140;2026/02/26
99000633;41569982000114;2026/02/26
99000821;18540703000178;2026/02/26
99000634;41569982000114;2026/02/26
99000635;41569982000114;2026/02/26
99000312;14793908000104;2026/02/27
99012491;30299255000168;2026/02/26
99000009;28283202000107;2026/02/27
99000021;59156969000107;2026/02/27
99000023;28741080000155;2026/02/26
