Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99003439;13823340000164;2025/10/21
99003440;13823340000164;2025/10/21
99003441;13823340000164;2025/10/21
99003442;13823340000164;2025/10/21
99003443;13823340000164;2025/10/21
99000011;15322898000191;2025/10/21
99000007;61473038000176;2025/10/21
99000052;02879218000193;2025/10/24
99000885;49690421000180;2025/10/21
99000244;35375155000359;2025/10/21
99000747;41490184000100;2025/10/21
99000010;04089573000194;2025/10/21
99000014;61473038000176;2025/10/21
99000252;35375155000359;2025/10/21
99000253;35375155000359;2025/10/21
99005745;29548096000109;2025/10/20
99000782;00146531000197;2025/10/24
99000060;46265852000101;2025/10/23
99000502;30400029000121;2025/10/22
99000655;43454624000191;2025/10/21
99000471;41569982000114;2025/10/21
99000062;52786360000164;2025/10/21
99000274;35375155000359;2025/10/21
99000664;43454624000191;2025/10/21
99000004;28283202000107;2025/10/22
99000727;26383797000147;2025/10/21
99000044;43305318000193;2025/10/21
99000123;62162700000130;2025/10/22
99000124;62162700000130;2025/10/22
99000126;62162700000130;2025/10/22
99000380;35304135000125;2025/10/23
99000131;62162700000130;2025/10/24
