Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99022493;73686370019206;2025/12/10
99023175;73686370019206;2025/12/10
99023859;73686370019206;2025/12/10
99024541;73686370019206;2025/12/10
99000057;34376591000118;2025/12/09
99000007;22721428000166;2025/12/09
99000001;62976077000159;2025/12/10
99000008;22721428000166;2025/12/12
99000002;62976077000159;2025/12/10
99000012;56172490000168;2025/12/11
99000197;04606250000120;2025/12/12
99000055;54758018000186;2025/12/11
99000095;43670798000191;2025/12/11
99000479;03244495000192;2025/12/11
99000319;35375155000359;2025/12/09
99000908;46266891000123;2025/12/12
99000097;43670798000191;2025/12/10
99005197;32892404000123;2025/12/12
99000108;26753226000157;2025/12/12
