Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000567;45908539000181;2025/11/17
99000149;33306515000254;2025/11/19
99004912;32892404000123;2025/11/18
99002155;12390967000106;2025/11/18
99000578;45908539000181;2025/11/17
99000731;33229200000170;2025/11/19
99000382;53558582000192;2025/11/17
99000383;53558582000192;2025/11/17
99000489;41569982000114;2025/11/18
99000490;41569982000114;2025/11/19
99000008;12354441000170;2025/11/18
99000051;53410834000131;2025/11/18
99000066;31281670000157;2025/11/19
99000069;31281670000157;2025/11/19
99000193;42912040000150;2025/11/19
99000002;52184144000149;2025/11/17
99005010;32892404000123;2025/11/17
99000001;62337846000179;2025/11/17
99000362;37921597000117;2025/11/18
99000506;14827730000175;2025/11/18
99000333;58220895000150;2025/11/18
99000002;62569491000143;2025/11/18
99000002;62337846000179;2025/11/18
99000737;02177542000160;2025/11/18
99000222;41385864000156;2025/11/18
99000223;41385864000156;2025/11/18
99000738;02177542000160;2025/11/18
99000026;30889902000191;2025/11/18
99000243;11340483000190;2025/11/19
99000501;41569982000114;2025/11/18
99001224;00064702000139;2025/11/18
