Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99003477;13823340000164;2026/02/12
99003501;13823340000164;2026/02/12
99000051;58155388000180;2026/02/09
99000804;02412214000109;2026/02/09
99003820;13823340000164;2026/02/09
99000486;03244495000192;2026/02/10
99000487;03244495000192;2026/02/10
99000488;03244495000192;2026/02/10
99000489;03244495000192;2026/02/10
99003614;07199061001817;2026/02/10
99001458;20040294000192;2026/02/10
99002292;12390967000106;2026/02/09
99000069;54758018000186;2026/02/09
99000025;39501850000109;2026/02/10
99000026;39501850000109;2026/02/10
99000027;39501850000109;2026/02/10
99000047;54020236000119;2026/02/11
99000533;14827730000175;2026/02/09
99000048;54020236000119;2026/02/11
99002315;12390967000106;2026/02/12
99001092;72934748009390;2026/02/10
99000108;19310428000169;2026/02/09
99000596;41569982000114;2026/02/09
99000157;46549629000196;2026/02/10
99000288;62162700000130;2026/02/12
99000158;46549629000196;2026/02/10
99000436;58220895000150;2026/02/10
99000437;58220895000150;2026/02/10
99000006;63595152000102;2026/02/11
99002788;15729140000172;2026/02/11
99000042;47498810000183;2026/02/11
99000009;13328017000114;2026/02/11
99000002;62802942000140;2026/02/11
99000373;35375155000359;2026/02/11
99000119;27571846000138;2026/02/11
99000686;53623204000145;2026/02/12
