Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000194;33574204000195;2026/02/03
99000195;33574204000195;2026/02/03
99000196;33574204000195;2026/02/03
99000197;33574204000195;2026/02/03
99000198;33574204000195;2026/02/03
99000199;33574204000195;2026/02/03
99000200;33574204000195;2026/02/03
99000201;33574204000195;2026/02/03
99000202;33574204000195;2026/02/03
99000203;33574204000195;2026/02/03
99000204;33574204000195;2026/02/03
99000205;33574204000195;2026/02/03
99000206;33574204000195;2026/02/03
99000207;33574204000195;2026/02/03
99000208;33574204000195;2026/02/03
99000197;54558905000100;2026/02/05
99002762;49907594000108;2026/02/03
99000046;43110384000108;2026/02/03
99000770;33229200000170;2026/02/04
99002293;12390967000106;2026/02/03
99000147;46549629000196;2026/02/03
99000148;46549629000196;2026/02/04
99000009;59815164000110;2026/02/04
99000047;43110384000108;2026/02/03
99000065;04361864000190;2026/02/05
99000319;12698481000130;2026/02/04
99000320;12698481000130;2026/02/05
99000492;44568259000109;2026/02/04
99003180;24875410000144;2026/02/04
99003181;24875410000144;2026/02/04
99003182;24875410000144;2026/02/04
99000420;58220895000150;2026/02/04
99000017;59156969000107;2026/02/06
